Living_sleeping_location,Causes_of_leaving_home,Type_of_work,Enjoy_or_not_work,Working_for,Working_single_group,Working_injury,Sleeping_place_fixed_or_not,Eating_times_per_day,Eating_location,No_of_nights_gone_to_bed_without_food_per_week,Having_winter_clothes,Ability_of_reading,Ability_of_writing,Smoke,Arrested_by_police,Aware_of_organizations,Division,cat_hr_work,age_cat,attend_cat,living_company_cat,Hungry_night,Eat_location_cat,working_days
In a shelter,I ran away,Collect old papers & thoer things,No,For himself,No I work with other street children,Yes,Yes,Twice a day,Street shop,Two nights,No,No,No,Yes,Yes,Yes,Dhaka,upto 8hr,from 11  to 14,No,With friends (who are street children),without food,Street Shop,7 day
Others,Father/mother coming here,Collect old papers & thoer things,No,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,Yes,Yes,No,Dhaka,more than 12 hr,more than 14,No,No one,With food,Street Shop,7 day
In a shelter,Father/mother coming here,Others,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Cook on the street with friends/other street children,"No, did not without food",Yes,Yes,Yes,No,No,Yes,Dhaka,upto 8hr,from 11  to 14,Yes,With friends (who are street children),With food,Begging or collecting from dustbin,7 day
In a shelter,Others,Collect old papers & thoer things,No,For himself,Yes I work on my own,Yes,Yes,One time a day,Cook on the street with friends/other street children,Three nights,Yes,No,Yes,No,Yes,Yes,Dhaka,from 8 to 12 hr,less than 11,Yes,With friends (who are street children),without food,Begging or collecting from dustbin,7 day
Bus stations,I ran away,Collect old papers & thoer things,Yes,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,"No, did not without food",No,No,Yes,No,Yes,Yes,Dhaka,upto 8hr,from 11  to 14,Yes,With friends (who are street children),With food,Street Shop,7 day
Bus stations,Because of stepfather/mother,Collect old papers & thoer things,No,For himself,Yes I work on my own,Yes,Yes,Twice a day,Street shop,One night,No,Yes,Yes,No,Yes,Yes,Dhaka,upto 8hr,from 11  to 14,Yes,No one,without food,Street Shop,7 day
In a shelter,Father/mother coming here,Others,Yes,For family,Yes I work on my own,Yes,Yes,Three times a day,Others,"No, did not without food",No,Yes,Yes,No,Yes,Yes,Dhaka,upto 8hr,from 11  to 14,No,With friends (who are street children),With food,Begging or collecting from dustbin,7 day
On the street,Parents sent me away (not sold),Collect things from dustbin & sell,No,For himself,Yes I work on my own,Yes,Yes,Twice a day,Street shop,Two nights,No,No,No,No,No,No,Dhaka,more than 12 hr,more than 14,No,With friends (who are street children),without food,Street Shop,7 day
On the street,Father/mother coming here,Begging,No,For family,Yes I work on my own,Yes,No,Twice a day,Street shop,Three nights,No,Yes,Yes,Yes,Yes,Yes,Dhaka,upto 8hr,less than 11,Yes,With friends (who are street children),without food,Street Shop,7 day
Others,Father/mother coming here,Begging,No,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,Two nights,No,No,No,Yes,No,No,Dhaka,more than 12 hr,more than 14,No,No one,without food,Street Shop,7 day
On the street,Poverty/hunger,Collect old papers & thoer things,No,For family,Yes I work on my own,Yes,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,Yes,No,No,Dhaka,upto 8hr,from 11  to 14,No,With friends (who are street children),With food,Street Shop,7 day
On the street,I ran away,Collect old papers & thoer things,Yes,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,One night,Yes,No,No,No,Yes,Yes,Dhaka,from 8 to 12 hr,more than 14,No,With friends (who are street children),without food,Street Shop,7 day
Others,No one to look after me,Others,No,For himself,Yes I work on my own,Yes,Yes,Twice a day,Street shop,Four nights,No,No,No,Yes,Yes,No,Dhaka,upto 8hr,more than 14,No,No one,without food,Street Shop,7 day
Others,No one to look after me,Begging,No,For himself,Yes I work on my own,Yes,No,One time a day,Street shop,Four nights,No,No,No,Yes,No,No,Dhaka,upto 8hr,less than 11,No,With friends (who are street children),without food,Street Shop,7 day
On the street,Came to earn income,Sell flowers/newspapers/fruits on the road,Yes,For himself,Yes I work on my own,Yes,Yes,Twice a day,Street shop,Four nights,No,No,No,No,No,No,Dhaka,from 8 to 12 hr,from 11  to 14,Yes,No one,without food,Street Shop,7 day
On the street,Came to earn income,Collect old papers & thoer things,Yes,For himself,Yes I work on my own,Yes,Yes,Three times a day,Others,Two nights,No,No,No,No,Yes,No,Dhaka,more than 12 hr,from 11  to 14,No,No one,without food,Begging or collecting from dustbin,7 day
Abandoned houses,There was abuse,Begging,No,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,"No, did not without food",No,Yes,Yes,Yes,No,No,Dhaka,from 8 to 12 hr,more than 14,Yes,No one,With food,Street Shop,7 day
Bus stations,Others,Begging,No,For himself,Yes I work on my own,Yes,Yes,Three times a day,Beg for food from restaurants,Two nights,No,No,No,Yes,No,No,Dhaka,upto 8hr,less than 11,No,No one,without food,Begging or collecting from dustbin,7 day
Bus stations,Came to earn income,Collect old papers & thoer things,Yes,For himself,Yes I work on my own,No,Yes,Twice a day,Others,Four nights,No,No,No,Yes,No,No,Dhaka,upto 8hr,from 11  to 14,Yes,With friends (who are street children),without food,Begging or collecting from dustbin,7 day
In a shelter,No one to look after me,Others,Yes,For employer,Yes I work on my own,Yes,Yes,Three times a day,Others,One night,No,Yes,Yes,No,No,Yes,Dhaka,upto 8hr,from 11  to 14,Yes,With friends (who are street children),without food,Begging or collecting from dustbin,7 day
In a shelter,I ran away,Others,Yes,For himself,Yes I work on my own,Yes,Yes,Three times a day,Others,One night,No,No,No,No,No,Yes,Dhaka,from 8 to 12 hr,more than 14,Yes,With friends (who are street children),without food,Begging or collecting from dustbin,less than 7 day
In a shelter,Because of stepfather/mother,Collect old papers & thoer things,Yes,For himself,Yes I work on my own,No,Yes,Three times a day,Others,"No, did not without food",Yes,Yes,Yes,No,No,Yes,Dhaka,upto 8hr,from 11  to 14,Yes,With friends (who are street children),With food,Begging or collecting from dustbin,less than 7 day
In a shelter,I ran away,Others,Yes,For himself,Yes I work on my own,Yes,Yes,Three times a day,Others,One night,Yes,No,No,No,Yes,Yes,Dhaka,upto 8hr,from 11  to 14,No,With friends (who are street children),without food,Begging or collecting from dustbin,less than 7 day
Others,Others,Collect old papers & thoer things,No,For himself,Yes I work on my own,Yes,Yes,Three times a day,Others,"No, did not without food",Yes,No,No,Yes,Yes,No,Dhaka,from 8 to 12 hr,more than 14,No,No one,With food,Begging or collecting from dustbin,less than 7 day
Others,Father/mother coming here,Collect old papers & thoer things,No,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,Yes,Yes,No,Dhaka,more than 12 hr,more than 14,No,No one,With food,Street Shop,7 day
Others,No one to look after me,Collect old papers & thoer things,No,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,Three nights,No,No,No,No,Yes,No,Dhaka,upto 8hr,from 11  to 14,No,No one,without food,Street Shop,7 day
Others,I ran away,Tokai,No,For himself,Yes I work on my own,No,Yes,Three times a day,Street shop,Three nights,No,Yes,Yes,Yes,No,No,Dhaka,from 8 to 12 hr,more than 14,Yes,No one,without food,Street Shop,less than 7 day
In a shelter,Poverty/hunger,Minti,Yes,For himself,No I work with other street children,No,Yes,Three times a day,Others,"No, did not without food",No,No,No,No,No,No,Dhaka,upto 8hr,from 11  to 14,Yes,With friends (who are street children),With food,Begging or collecting from dustbin,less than 7 day
In a shelter,Poverty/hunger,Collect old papers & thoer things,No,For himself,Yes I work on my own,Yes,Yes,Three times a day,Street shop,Two nights,No,Yes,Yes,Yes,Yes,Yes,Dhaka,from 8 to 12 hr,from 11  to 14,Yes,With friends (who are street children),without food,Street Shop,less than 7 day
On the street,Came to earn income,Sell flowers/newspapers/fruits on the road,No,For family,Yes I work on my own,No,Yes,Twice a day,Street shop,"No, did not without food",No,No,No,No,No,No,Dhaka,from 8 to 12 hr,from 11  to 14,No,No one,With food,Street Shop,7 day
On the street,Poverty/hunger,Whatever work I can find,Yes,For family,No I work with other street children,No,Yes,Three times a day,Street shop,"No, did not without food",No,No,No,Yes,No,No,Dhaka,more than 12 hr,from 11  to 14,No,With friends (who are street children),With food,Street Shop,7 day
In a shelter,Poverty/hunger,Cooli,No,For himself,Yes I work on my own,No,No,Twice a day,Street shop,Two nights,No,Yes,No,No,Yes,No,Dhaka,upto 8hr,more than 14,No,No one,without food,Street Shop,less than 7 day
In a shelter,There was abuse,Begging,No,For himself,No I work with other street children,No,Yes,Three times a day,Others,Three nights,No,No,Yes,No,No,No,Dhaka,from 8 to 12 hr,from 11  to 14,Yes,With friends (who are street children),without food,Begging or collecting from dustbin,7 day
Others,Poverty/hunger,Begging,No,For himself,Yes I work on my own,No,No,One time a day,Street shop,Four nights,No,Yes,Yes,No,No,No,Dhaka,from 8 to 12 hr,from 11  to 14,Yes,No one,without food,Street Shop,7 day
